"# Time to trip (s), Minimum Current (% rated)",
trip_time,min_current
0.8493150685,5.923995657
0.8219178082,5.86970684
0.8493150685,5.484256243
0.9863013699,5.136807818
1.068493151,5.001085776
1.150684932,4.88165038
1.315068493,4.702497286
1.643835616,4.425624321
2,4.175895765
2.246575342,4.018458198
2.602739726,3.82844734
3.123287671,3.589576547
3.726027397,3.361563518
4.273972603,3.176981542
4.767123288,3.035830619
5.315068493,2.872964169
6.219178082,2.67752443
7.561643836,2.422366992
8.931506849,2.210640608
10.02739726,2.074918567
11.17808219,1.950054289
12.82191781,1.808903366
14.21917808,1.72204126
15.04109589,1.678610206
16.38356164,1.62432139
18.24657534,1.586319218
20,1.537459283
24.45026178,1.49402823
28.21989529,1.466883822
30.26315789,1.445168295
38.94736842,1.385450597
47.10526316,1.309446254
75.82781457,1.244299674
100.3311258,1.184581976
128.1456954,1.152008686
150,1.13029316
177.8145695,1.108577633
200.9933775,1.092290988
228.1456954,1.081433225
357.6923077,1.070575461
500,1.070575461
