# Minimum Current (% rated), Time to trip (s)
min_current,trip_time
1.070575461,500.00000000
1.070575461,357.69230770
1.081433225,228.14569540
1.092290988,200.99337750
1.108577633,177.81456950
1.130293160,150.00000000
1.152008686,128.14569540
1.184581976,100.33112580
1.244299674,75.827814570
1.309446254,47.105263160
1.385450597,38.947368420
1.445168295,30.263157890
1.466883822,28.219895290
1.494028230,24.450261780
1.537459283,20.000000000
1.586319218,18.246575340
1.624321390,16.383561640
1.678610206,15.041095890
1.722041260,14.219178080
1.808903366,12.821917810
1.950054289,11.178082190
2.074918567,10.027397260
2.210640608,8.9315068490
2.422366992,7.5616438360
2.677524430,6.2191780820
2.872964169,5.3150684930
3.035830619,4.7671232880
3.176981542,4.2739726030
3.361563518,3.7260273970
3.589576547,3.1232876710
3.828447340,2.6027397260
4.018458198,2.2465753420
4.175895765,2.0000000000
4.425624321,1.6438356160
4.702497286,1.3150684930
4.881650380,1.1506849320
5.001085776,1.0684931510
5.136807818,0.9863013699
5.484256243,0.8493150685
5.869706840,0.8219178082
5.923995657,0.8493150685
