speed,torque,current,supplied_power,output_power,efficiency,power_dissipation
0,0.708,133.613,1603.356,0,0,1603.356
187.34,0.70092,132.284,1587.408,13.751,0.866,1573.657
374.681,0.69384,130.955,1571.46,27.224,1.732,1544.236
562.021,0.68676,129.626,1555.512,40.419,2.598,1515.093
749.362,0.67968,128.296,1539.552,53.337,3.464,1486.215
936.702,0.6726,126.967,1523.604,65.976,4.33,1457.628
1124.043,0.66552,125.638,1507.656,78.338,5.196,1429.318
1311.383,0.65844,124.309,1491.708,90.422,6.062,1401.286
1498.724,0.65136,122.98,1475.76,102.228,6.927,1373.532
1686.064,0.64428,121.651,1459.812,113.757,7.793,1346.055
1873.405,0.6372,120.322,1443.864,125.007,8.658,1318.857
2060.745,0.63012,118.992,1427.904,135.98,9.523,1291.924
2248.086,0.62304,117.663,1411.956,146.675,10.388,1265.281
2435.426,0.61596,116.334,1396.008,157.093,11.253,1238.915
2622.767,0.60888,115.005,1380.06,167.232,12.118,1212.828
2810.107,0.6018,113.676,1364.112,177.094,12.982,1187.018
2997.448,0.59472,112.347,1348.164,186.678,13.847,1161.486
3184.788,0.58764,111.018,1332.216,195.984,14.711,1136.232
3372.129,0.58056,109.688,1316.256,205.012,15.575,1111.244
3559.469,0.57348,108.359,1300.308,213.763,16.439,1086.545
3746.81,0.5664,107.03,1284.36,222.236,17.303,1062.124
3934.15,0.55932,105.701,1268.412,230.43,18.167,1037.982
4121.491,0.55224,104.372,1252.464,238.348,19.03,1014.116
4308.831,0.54516,103.043,1236.516,245.987,19.894,990.529
4496.172,0.53808,101.714,1220.568,253.349,20.757,967.219
4683.512,0.531,100.385,1204.62,260.432,21.619,944.188
4870.853,0.52392,99.055,1188.66,267.238,22.482,921.422
5058.193,0.51684,97.726,1172.712,273.766,23.345,898.946
5245.534,0.50976,96.397,1156.764,280.017,24.207,876.747
5432.874,0.50268,95.068,1140.816,285.989,25.069,854.827
5620.215,0.4956,93.739,1124.868,291.684,25.931,833.184
5807.555,0.48852,92.41,1108.92,297.101,26.792,811.819
5994.896,0.48144,91.081,1092.972,302.24,27.653,790.732
6182.236,0.47436,89.751,1077.012,307.102,28.514,769.91
6369.577,0.46728,88.422,1061.064,311.685,29.375,749.379
6556.917,0.4602,87.093,1045.116,315.991,30.235,729.125
6744.258,0.45312,85.764,1029.168,320.019,31.095,709.149
6931.598,0.44604,84.435,1013.22,323.769,31.954,689.451
7118.939,0.43896,83.106,997.272,327.242,32.814,670.03
7306.279,0.43188,81.777,981.324,330.436,33.672,650.888
7493.62,0.4248,80.447,965.364,333.353,34.531,632.011
7680.96,0.41772,79.118,949.416,335.992,35.389,613.424
7868.301,0.41064,77.789,933.468,338.354,36.247,595.114
8055.641,0.40356,76.46,917.52,340.437,37.104,577.083
8242.982,0.39648,75.131,901.572,342.243,37.961,559.329
8430.322,0.3894,73.802,885.624,343.771,38.817,541.853
