speed,torque,current,supplied_power,output_power,efficiency,power_dissipation
0,0.431,52.619,631.428,0,0,631.428
131.777,0.42669,52.111,625.332,5.888,0.942,619.444
263.554,0.42238,51.603,619.236,11.657,1.882,607.579
395.331,0.41807,51.094,613.128,17.308,2.823,595.82
527.108,0.41376,50.586,607.032,22.839,3.762,584.193
658.884,0.40945,50.078,600.936,28.251,4.701,572.685
790.661,0.40514,49.57,594.84,33.545,5.639,561.295
922.438,0.40083,49.062,588.744,38.719,6.577,550.025
1054.215,0.39652,48.553,582.636,43.775,7.513,538.861
1185.992,0.39221,48.045,576.54,48.711,8.449,527.829
1317.769,0.3879,47.537,570.444,53.529,9.384,516.915
1449.546,0.38359,47.029,564.348,58.227,10.318,506.121
1581.323,0.37928,46.521,558.252,62.807,11.251,495.445
1713.1,0.37497,46.013,552.156,67.268,12.183,484.888
1844.876,0.37066,45.504,546.048,71.61,13.114,474.438
1976.653,0.36635,44.996,539.952,75.832,14.044,464.12
2108.43,0.36204,44.488,533.856,79.936,14.973,453.92
2240.207,0.35773,43.98,527.76,83.921,15.901,443.839
2371.984,0.35342,43.472,521.664,87.787,16.828,433.877
2503.761,0.34911,42.963,515.556,91.534,17.754,424.022
2635.538,0.3448,42.455,509.46,95.162,18.679,414.298
2767.315,0.34049,41.947,503.364,98.671,19.602,404.693
2899.092,0.33618,41.439,497.268,102.062,20.525,395.206
3030.868,0.33187,40.931,491.172,105.333,21.445,385.839
3162.645,0.32756,40.422,485.064,108.485,22.365,376.579
3294.422,0.32325,39.914,478.968,111.518,23.283,367.45
3426.199,0.31894,39.406,472.872,114.433,24.2,358.439
3557.976,0.31463,38.898,466.776,117.228,25.114,349.548
3689.753,0.31032,38.39,460.68,119.905,26.028,340.775
3821.53,0.30601,37.881,454.572,122.462,26.94,332.11
3953.307,0.3017,37.373,448.476,124.901,27.85,323.575
4085.084,0.29739,36.865,442.38,127.22,28.758,315.16
4216.86,0.29308,36.357,436.284,129.421,29.664,306.863
4348.637,0.28877,35.849,430.188,131.502,30.568,298.686
4480.414,0.28446,35.341,424.092,133.465,31.471,290.627
4612.191,0.28015,34.832,417.984,135.309,32.372,282.675
4743.968,0.27584,34.324,411.888,137.034,33.27,274.854
4875.745,0.27153,33.816,405.792,138.64,34.165,267.152
5007.522,0.26722,33.308,399.696,140.127,35.058,259.569
5139.299,0.26291,32.8,393.6,141.495,35.949,252.105
5271.076,0.2586,32.291,387.492,142.744,36.838,244.748
5402.852,0.25429,31.783,381.396,143.874,37.723,237.522
5534.629,0.24998,31.275,375.3,144.885,38.605,230.415
5666.406,0.24567,30.767,369.204,145.777,39.484,223.427
5798.183,0.24136,30.259,363.108,146.55,40.36,216.558
5929.96,0.23705,29.75,357,147.204,41.234,209.796
6061.737,0.23274,29.242,350.904,147.74,42.103,203.164
6193.514,0.22843,28.734,344.808,148.156,42.968,196.652
6325.291,0.22412,28.226,338.712,148.453,43.829,190.259
6457.068,0.21981,27.718,332.616,148.632,44.686,183.984
6588.845,0.2155,27.21,326.52,148.691,45.538,177.829
6720.621,0.21119,26.701,320.412,148.632,46.388,171.78
6852.398,0.20688,26.193,314.316,148.453,47.23,165.863
6984.175,0.20257,25.685,308.22,148.156,48.068,160.064
7115.952,0.19826,25.177,302.124,147.74,48.9,154.384
7247.729,0.19395,24.669,296.028,147.204,49.726,148.824
7379.506,0.18964,24.16,289.92,146.55,50.548,143.37
7511.283,0.18533,23.652,283.824,145.777,51.362,138.047
7643.06,0.18102,23.144,277.728,144.885,52.168,132.843
7774.837,0.17671,22.636,271.632,143.874,52.967,127.758
7906.613,0.1724,22.128,265.536,142.744,53.757,122.792
8038.39,0.16809,21.619,259.428,141.495,54.541,117.933
8170.167,0.16378,21.111,253.332,140.127,55.314,113.205
8301.944,0.15947,20.603,247.236,138.64,56.076,108.596
8433.721,0.15516,20.095,241.14,137.034,56.828,104.106
8565.498,0.15085,19.587,235.044,135.309,57.568,99.735
8697.275,0.14654,19.078,228.936,133.465,58.298,95.471
8829.052,0.14223,18.57,222.84,131.502,59.012,91.338
8960.829,0.13792,18.062,216.744,129.421,59.711,87.323
9092.605,0.13361,17.554,210.648,127.22,60.395,83.428
9224.382,0.1293,17.046,204.552,124.901,61.061,79.651
9356.159,0.12499,16.538,198.456,122.462,61.707,75.994
9487.936,0.12068,16.029,192.348,119.905,62.338,72.443
9619.713,0.11637,15.521,186.252,117.228,62.941,69.024
9751.49,0.11206,15.013,180.156,114.433,63.519,65.723
9883.267,0.10775,14.505,174.06,111.518,64.069,62.542
10015.044,0.10344,13.997,167.964,108.485,64.588,59.479
10146.821,0.09913,13.488,161.856,105.333,65.078,56.523
10278.597,0.09482,12.98,155.76,102.062,65.525,53.698
10410.374,0.09051,12.472,149.664,98.671,65.928,50.993
10542.151,0.0862,11.964,143.568,95.162,66.284,48.406
10673.928,0.08189,11.456,137.472,91.534,66.584,45.938
10805.705,0.07758,10.947,131.364,87.787,66.827,43.577
10937.482,0.07327,10.439,125.268,83.921,66.993,41.347
