speed,torque,current,supplied_power,output_power,efficiency,power_dissipation
0,2.413,131.055,1572.66,0,0,1572.66
53.3,2.38887,129.771,1557.252,13.334,0.856,1543.918
106.6,2.36474,128.488,1541.856,26.398,1.712,1515.458
159.9,2.34061,127.204,1526.448,39.193,2.568,1487.255
213.2,2.31648,125.921,1511.052,51.718,3.423,1459.334
266.5,2.29235,124.637,1495.644,63.974,4.277,1431.67
319.8,2.26822,123.354,1480.248,75.961,5.132,1404.287
373.1,2.24409,122.07,1464.84,87.679,5.986,1377.161
426.4,2.21996,120.787,1449.444,99.127,6.839,1350.317
479.7,2.19583,119.503,1434.036,110.305,7.692,1323.731
533,2.1717,118.22,1418.64,121.215,8.544,1297.425
586.3,2.14757,116.936,1403.232,131.855,9.397,1271.377
639.6,2.12344,115.652,1387.824,142.225,10.248,1245.599
692.9,2.09931,114.369,1372.428,152.327,11.099,1220.101
746.2,2.07518,113.085,1357.02,162.158,11.95,1194.862
799.5,2.05105,111.802,1341.624,171.721,12.799,1169.903
852.8,2.02692,110.518,1326.216,181.014,13.649,1145.202
906.1,2.00279,109.235,1310.82,190.038,14.498,1120.782
959.4,1.97866,107.951,1295.412,198.792,15.346,1096.62
1012.7,1.95453,106.668,1280.016,207.277,16.193,1072.739
1066,1.9304,105.384,1264.608,215.493,17.04,1049.115
1119.3,1.90627,104.1,1249.2,223.439,17.887,1025.761
1172.6,1.88214,102.817,1233.804,231.116,18.732,1002.688
1225.9,1.85801,101.533,1218.396,238.524,19.577,979.872
1279.2,1.83388,100.25,1203,245.662,20.421,957.338
1332.5,1.80975,98.966,1187.592,252.531,21.264,935.061
1385.8,1.78562,97.683,1172.196,259.13,22.106,913.066
1439.1,1.76149,96.399,1156.788,265.46,22.948,891.328
1492.4,1.73736,95.116,1141.392,271.521,23.789,869.871
1545.7,1.71323,93.832,1125.984,277.313,24.629,848.671
1599,1.6891,92.549,1110.588,282.835,25.467,827.753
1652.3,1.66497,91.265,1095.18,288.087,26.305,807.093
1705.6,1.64084,89.981,1079.772,293.07,27.142,786.702
1758.9,1.61671,88.698,1064.376,297.784,27.977,766.592
1812.2,1.59258,87.414,1048.968,302.229,28.812,746.739
1865.5,1.56845,86.131,1033.572,306.404,29.645,727.168
1918.8,1.54432,84.847,1018.164,310.31,30.477,707.854
1972.1,1.52019,83.564,1002.768,313.946,31.308,688.822
2025.4,1.49606,82.28,987.36,317.313,32.138,670.047
2078.7,1.47193,80.997,971.964,320.411,32.965,651.553
2132,1.4478,79.713,956.556,323.239,33.792,633.317
2185.3,1.42367,78.429,941.148,325.798,34.617,615.35
2238.6,1.39954,77.146,925.752,328.088,35.44,597.664
2291.9,1.37541,75.862,910.344,330.108,36.262,580.236
2345.2,1.35128,74.579,894.948,331.859,37.081,563.089
2398.5,1.32715,73.295,879.54,333.341,37.899,546.199
2451.8,1.30302,72.012,864.144,334.553,38.715,529.591
2505.1,1.27889,70.728,848.736,335.496,39.529,513.24
2558.4,1.25476,69.445,833.34,336.169,40.34,497.171
2611.7,1.23063,68.161,817.932,336.573,41.149,481.359
2665,1.2065,66.878,802.536,336.708,41.956,465.828
2718.3,1.18237,65.594,787.128,336.573,42.76,450.555
2771.6,1.15824,64.31,771.72,336.169,43.561,435.551
2824.9,1.13411,63.027,756.324,335.496,44.359,420.828
2878.2,1.10998,61.743,740.916,334.553,45.154,406.363
2931.5,1.08585,60.46,725.52,333.341,45.945,392.179
2984.8,1.06172,59.176,710.112,331.859,46.733,378.253
3038.1,1.03759,57.893,694.716,330.108,47.517,364.608
3091.4,1.01346,56.609,679.308,328.088,48.297,351.22
3144.7,0.98933,55.326,663.912,325.798,49.072,338.114
3198,0.9652,54.042,648.504,323.239,49.844,325.265
3251.3,0.94107,52.758,633.096,320.411,50.61,312.685
3304.6,0.91694,51.475,617.7,317.313,51.37,300.387
3357.9,0.89281,50.191,602.292,313.946,52.125,288.346
3411.2,0.86868,48.908,586.896,310.31,52.873,276.586
3464.5,0.84455,47.624,571.488,306.404,53.615,265.084
3517.8,0.82042,46.341,556.092,302.229,54.349,253.863
3571.1,0.79629,45.057,540.684,297.784,55.075,242.9
3624.4,0.77216,43.774,525.288,293.07,55.792,232.218
3677.7,0.74803,42.49,509.88,288.087,56.501,221.793
3731,0.7239,41.207,494.484,282.835,57.198,211.649
3784.3,0.69977,39.923,479.076,277.313,57.885,201.763
3837.6,0.67564,38.639,463.668,271.521,58.559,192.147
3890.9,0.65151,37.356,448.272,265.46,59.219,182.812
3944.2,0.62738,36.072,432.864,259.13,59.864,173.734
3997.5,0.60325,34.789,417.468,252.531,60.491,164.937
4050.8,0.57912,33.505,402.06,245.662,61.101,156.398
4104.1,0.55499,32.222,386.664,238.524,61.688,148.14
4157.4,0.53086,30.938,371.256,231.116,62.252,140.14
4210.7,0.50673,29.655,355.86,223.439,62.788,132.421
4264,0.4826,28.371,340.452,215.493,63.296,124.959
4317.3,0.45847,27.087,325.044,207.277,63.769,117.767
4370.6,0.43434,25.804,309.648,198.792,64.199,110.856
4423.9,0.41021,24.52,294.24,190.038,64.586,104.202
4477.2,0.38608,23.237,278.844,181.014,64.916,97.83
4530.5,0.36195,21.953,263.436,171.721,65.185,91.715
4583.8,0.33782,20.67,248.04,162.158,65.376,85.882
4637.1,0.31369,19.386,232.632,152.327,65.48,80.305
4690.4,0.28956,18.103,217.236,142.225,65.47,75.011
4743.7,0.26543,16.819,201.828,131.855,65.33,69.973
4797,0.2413,15.536,186.432,121.215,65.018,65.217
4850.3,0.21717,14.252,171.024,110.305,64.497,60.719
4903.6,0.19304,12.968,155.616,99.127,63.7,56.489
4956.9,0.16891,11.685,140.22,87.679,62.53,52.541
5010.2,0.14478,10.401,124.812,75.961,60.86,48.851
5063.5,0.12065,9.118,109.416,63.974,58.469,45.442
5116.8,0.09652,7.834,94.008,51.718,55.014,42.29
5170.1,0.07239,6.551,78.612,39.193,49.856,39.419
5223.4,0.04826,5.267,63.204,26.398,41.766,36.806
5276.7,0.02413,3.984,47.808,13.334,27.891,34.474
5330,0,2.7,32.4,0,0,32.4
